bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
35,677,350,470,0,67.7,35,47,66.65,switch_winning_percent,,,1
30.3,1358,653,990,1000,68.1,30.3,52,33.35,switch_losing_percent,,,2
33,2012,983,1509,2000,65.4,33,51.9,33.29,stay_winning_percent,,,3
32.9,2679,1312,1997,3000,66.7,32.9,48.8,66.71,stay_losing_percent,,,4
32.8,3345,1640,2491,4000,66.6,32.8,49.4,49.95,random_winning_percentage,,,5
33.9,4014,1979,2981,5000,66.9,33.9,49,50.05,random_losing_percentage,,,6
32.5,4683,2304,3482,6000,66.9,32.5,50.1,50,losing,,,7
33.2,5345,2636,3953,7000,66.2,33.2,47.1,50,winning,,,8
31.9,6007,2955,4452,8000,66.2,31.9,49.9,,,,,9
30.8,6628,3263,4953,9000,62.1,30.8,50.1,,,,,10
33.4,7282,3597,5433,10000,65.4,33.4,48,,,,,11
34.7,7961,3944,5907,11000,67.9,34.7,47.4,,,,,12
31.3,8623,4257,6411,12000,66.2,31.3,50.4,,,,,13
33.2,9296,4589,6924,13000,67.3,33.2,51.3,,,,,14
32.9,9986,4918,7436,14000,69,32.9,51.2,,,,,15
33.2,10674,5250,7965,15000,68.8,33.2,52.9,,,,,16
32,11319,5570,8464,16000,64.5,32,49.9,,,,,17
33,11971,5900,8948,17000,65.2,33,48.4,,,,,18
31.2,12623,6212,9425,18000,65.2,31.2,47.7,,,,,19
34.7,13276,6559,9925,19000,65.3,34.7,50,,,,,20
31.3,13939,6872,10444,20000,66.3,31.3,51.9,,,,,21
33,14624,7202,10919,21000,68.5,33,47.5,,,,,22
32.6,15298,7528,11405,22000,67.4,32.6,48.6,,,,,23
35.3,15968,7881,11895,23000,67,35.3,49,,,,,24
33.3,16632,8214,12380,24000,66.4,33.3,48.5,,,,,25
34.5,17295,8559,12864,25000,66.3,34.5,48.4,,,,,26
32.6,17984,8885,13343,26000,68.9,32.6,47.9,,,,,27
33.7,18633,9222,13842,27000,64.9,33.7,49.9,,,,,28
28.2,19296,9504,14350,28000,66.3,28.2,50.8,,,,,29
32.3,19949,9827,14847,29000,65.3,32.3,49.7,,,,,30
31.9,20605,10146,15349,30000,65.6,31.9,50.2,,,,,31
32.6,21287,10472,15848,31000,68.2,32.6,49.9,,,,,32
35.3,21966,10825,16316,32000,67.9,35.3,46.8,,,,,33
33.5,22631,11160,16846,33000,66.5,33.5,53,,,,,34
31.1,23303,11471,17314,34000,67.2,31.1,46.8,,,,,35
33.7,23974,11808,17817,35000,67.1,33.7,50.3,,,,,36
33.7,24641,12145,18275,36000,66.7,33.7,45.8,,,,,37
36,25302,12505,18777,37000,66.1,36,50.2,,,,,38
